Id,Label
ADVOCACIA-GERAL DA UNIAO,ADVOCACIA-GERAL DA UNIAO
"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO","MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO"
"MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS","MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS"
"MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO","MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO"
"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES","MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES"
"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL","MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL"
MINISTERIO DA CULTURA,MINISTERIO DA CULTURA
MINISTERIO DA DEFESA,MINISTERIO DA DEFESA
MINISTERIO DA EDUCACAO,MINISTERIO DA EDUCACAO
MINISTERIO DA FAZENDA,MINISTERIO DA FAZENDA
MINISTERIO DA INTEGRACAO NACIONAL,MINISTERIO DA INTEGRACAO NACIONAL
MINISTERIO DA JUSTICA,MINISTERIO DA JUSTICA
MINISTERIO DA SAUDE,MINISTERIO DA SAUDE
MINISTERIO DA TRANSPARENCIA E CGU,MINISTERIO DA TRANSPARENCIA E CGU
MINISTERIO DAS CIDADES,MINISTERIO DAS CIDADES
MINISTERIO DAS RELACOES EXTERIORES,MINISTERIO DAS RELACOES EXTERIORES
MINISTERIO DE MINAS E ENERGIA,MINISTERIO DE MINAS E ENERGIA
MINISTERIO DO DESENVOLVIMENTO SOCIAL,MINISTERIO DO DESENVOLVIMENTO SOCIAL
MINISTERIO DO MEIO AMBIENTE,MINISTERIO DO MEIO AMBIENTE
MINISTERIO DO TRABALHO,MINISTERIO DO TRABALHO
MINISTERIO DO TRABALHO E EMPREGO,MINISTERIO DO TRABALHO E EMPREGO
PRESIDENCIA DA REPUBLICA,PRESIDENCIA DA REPUBLICA
RIDLAV MELO SILVA 02887022474,RIDLAV MELO SILVA 02887022474
LIVRARIA E PAPELARIA LACERDA LTDA,LIVRARIA E PAPELARIA LACERDA LTDA
CORTEPEL COMERCIO DE PAPEIS E MATERIAIS GRAFICOS LTDA,CORTEPEL COMERCIO DE PAPEIS E MATERIAIS GRAFICOS LTDA
SEM INFORMACAO,SEM INFORMACAO
MILACAN COMERCIAL LTDA,MILACAN COMERCIAL LTDA
INFOCENTER COM MATERIAIS DE INFORMATICA LTDA,INFOCENTER COM MATERIAIS DE INFORMATICA LTDA
MIRANDA COMPUTACAO E COMERCIO LTDA,MIRANDA COMPUTACAO E COMERCIO LTDA
J M CHAVES FARMACIA LTDA - ME,J M CHAVES FARMACIA LTDA - ME
MEDICAL MERCANTIL DE APARELHAGEM MEDICA LTDA,MEDICAL MERCANTIL DE APARELHAGEM MEDICA LTDA
CRISTIANO FRANCISCO DA SILVA,CRISTIANO FRANCISCO DA SILVA
VJ FARMA LTDA,VJ FARMA LTDA
M E T MARQUES,M E T MARQUES
NAO SE APLICA,NAO SE APLICA
CIRNE IRMAOS & CIA LTDA,CIRNE IRMAOS & CIA LTDA
ANDRE A DOS SANTOS CHAVES E IMPRESSOS,ANDRE A DOS SANTOS CHAVES E IMPRESSOS
JANE CLEIDE SIMOES DE CARVALHO,JANE CLEIDE SIMOES DE CARVALHO
COMERCIAL LIELMA LTDA,COMERCIAL LIELMA LTDA
PINTO BARBOSA COMERCIO DE MADEIRAS E MATERIAIS DE CONSTRUCAO LTDA,PINTO BARBOSA COMERCIO DE MADEIRAS E MATERIAIS DE CONSTRUCAO LTDA
F JOSE MONTEIRO DE LIMA,F JOSE MONTEIRO DE LIMA
MV COMERCIO DE PRODUTOS PARA HOTEIS E RESTAURANTES LTDA,MV COMERCIO DE PRODUTOS PARA HOTEIS E RESTAURANTES LTDA
DWH TECNOLOGIA E COMERCIO LTDA,DWH TECNOLOGIA E COMERCIO LTDA
IZETTLE DO BRASIL MEIOS DE PAGAMENTO LTDA,IZETTLE DO BRASIL MEIOS DE PAGAMENTO LTDA
REVEST LINE COMERCIO E PRESTACAO DE SERVICOS LTDA,REVEST LINE COMERCIO E PRESTACAO DE SERVICOS LTDA
NORDIFE MATERIAIS ELETRICOS LTDA,NORDIFE MATERIAIS ELETRICOS LTDA
PEG PAG GLOBO LTDA,PEG PAG GLOBO LTDA
GARDENIA NEDER CARNEIRO LANDIN,GARDENIA NEDER CARNEIRO LANDIN
ELETRONICA UNIVERSAL LTDA,ELETRONICA UNIVERSAL LTDA
MARIA CABRAL DE MELO & CIA LTDA,MARIA CABRAL DE MELO & CIA LTDA
ATACADAO DO PAPEL EIRELI,ATACADAO DO PAPEL EIRELI
SANTOS & XAVIER LTDA,SANTOS & XAVIER LTDA
RENEE PEREIRA DA COSTA,RENEE PEREIRA DA COSTA
MIRIAN FERREIRA DE ARAUJO,MIRIAN FERREIRA DE ARAUJO
MIX PAPELARIA EIRELI,MIX PAPELARIA EIRELI
CASA NOVA TECIDOS & AVIAMENTOS LTDA,CASA NOVA TECIDOS & AVIAMENTOS LTDA
HERMES COELHO MARQUES,HERMES COELHO MARQUES
KALUNGA COMERCIO E INDUSTRIA GRAFICA LTDA,KALUNGA COMERCIO E INDUSTRIA GRAFICA LTDA
ELIZA GOMES DE MENDONCA,ELIZA GOMES DE MENDONCA
JNS COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,JNS COMERCIO DE PRODUTOS ALIMENTICIOS LTDA
LAMPADINHA MATERIAIS ELETRICOS LTDA,LAMPADINHA MATERIAIS ELETRICOS LTDA
A GOMES & IRMAO LTDA,A GOMES & IRMAO LTDA
E J P UTILIDADES E BRINQUEDOS EIRELI,E J P UTILIDADES E BRINQUEDOS EIRELI
H.B.FRIO TOTAL LTDA,H.B.FRIO TOTAL LTDA
TOP INFO SALETE INFORMATICA LTDA,TOP INFO SALETE INFORMATICA LTDA
FAGMA COMERCIO DE MAQUINAS EIRELI,FAGMA COMERCIO DE MAQUINAS EIRELI
JANIO FERREIRA DOS SANTOS,JANIO FERREIRA DOS SANTOS
JULIANA COMERCIAL LTDA,JULIANA COMERCIAL LTDA
PROTECAO E FERRAMENTAS EIRELI,PROTECAO E FERRAMENTAS EIRELI
PADRAO DISTRIBUIDORA DE PRODUTOS E EQUIPAMENTOS HOSPITALARES PADRE CALLOU LTDA,PADRAO DISTRIBUIDORA DE PRODUTOS E EQUIPAMENTOS HOSPITALARES PADRE CALLOU LTDA
BARBOSA & MARQUES LTDA,BARBOSA & MARQUES LTDA
ATACADO DOS PRESENTES LTDA,ATACADO DOS PRESENTES LTDA
TELECABOS TELECOMUNICACOES COMERCIO LTDA,TELECABOS TELECOMUNICACOES COMERCIO LTDA
ELETRONICA ARTVIDEO PLUS LTDA,ELETRONICA ARTVIDEO PLUS LTDA
O MESTRE MATERIAIS DE CONSTRUCAO LTDA,O MESTRE MATERIAIS DE CONSTRUCAO LTDA
IEDSON LUCIANO DA SILVA,IEDSON LUCIANO DA SILVA
SAPUCAIA & CIA LTDA,SAPUCAIA & CIA LTDA
CIL COMERCIO DE INFORMATICA LTDA,CIL COMERCIO DE INFORMATICA LTDA
LUIZ MELO & CIA LTDA,LUIZ MELO & CIA LTDA
GILVANIA OLIVEIRA MOREIRA 04920185537,GILVANIA OLIVEIRA MOREIRA 04920185537
ALINE DO AMARAL SANTOS,ALINE DO AMARAL SANTOS
ELETRICA TAKEI COMERCIO LTDA,ELETRICA TAKEI COMERCIO LTDA
COMERCIO DE MATERIAIS ELETRICOS SULLIVAN LTDA,COMERCIO DE MATERIAIS ELETRICOS SULLIVAN LTDA
BAURU CENTER COPIAS COMERCIO E COPIADORA LTDA,BAURU CENTER COPIAS COMERCIO E COPIADORA LTDA
TIAGO FERREIRA MOLINA,TIAGO FERREIRA MOLINA
DD SERVI AMBIENTAL LTDA,DD SERVI AMBIENTAL LTDA
SUPRIMAQ EQUIPAMENTOS PARA ESCRITORIO EIRELI EM RECUPERACAO JUDICIAL,SUPRIMAQ EQUIPAMENTOS PARA ESCRITORIO EIRELI EM RECUPERACAO JUDICIAL
ELETRO MENDONCA COMERCIO DE MATERIAIS ELETRICOS LTDA,ELETRO MENDONCA COMERCIO DE MATERIAIS ELETRICOS LTDA
PAPELLOTTI COMERCIO DE ARTIGOS DE PAPELARIA EIRELI,PAPELLOTTI COMERCIO DE ARTIGOS DE PAPELARIA EIRELI
ELIANA FARINA BEIRA,ELIANA FARINA BEIRA
PORTO MATERIAIS DE ESCRITORIO LTDA,PORTO MATERIAIS DE ESCRITORIO LTDA
COMERCIO DE GAS GALIMBERTI LTDA,COMERCIO DE GAS GALIMBERTI LTDA
BELLER COMERCIO DE PAPEIS LTDA,BELLER COMERCIO DE PAPEIS LTDA
SCHEUER & GARCIA LTDA,SCHEUER & GARCIA LTDA
DISTRIBUIDORA CURITIBA DE PAPEIS E LIVROS S/A,DISTRIBUIDORA CURITIBA DE PAPEIS E LIVROS S/A
SULFILM COMERCIO DE FILM LTDA,SULFILM COMERCIO DE FILM LTDA
CHAVE A ART CHAVEIRO LTDA,CHAVE A ART CHAVEIRO LTDA
SPEED COPIAS LTDA,SPEED COPIAS LTDA
BEM BRASIL LTDA,BEM BRASIL LTDA
CASA DO ACO INOX LTDA,CASA DO ACO INOX LTDA
DH E S ARTE DIGITAL LTDA,DH E S ARTE DIGITAL LTDA
MALHA & DAL SOTTO INFORMATICA LTDA,MALHA & DAL SOTTO INFORMATICA LTDA
VANDERLEI LUIZ PACHECO RODRIGUES,VANDERLEI LUIZ PACHECO RODRIGUES
"METTA - PAPELARIA, MATERIAIS DE ESCRITORIO E INFORMATICA LTDA","METTA - PAPELARIA, MATERIAIS DE ESCRITORIO E INFORMATICA LTDA"
ZAMPIERON & DALACORTE LTDA,ZAMPIERON & DALACORTE LTDA
LOJAS DE DEPARTAMENTOS MILIUM LTDA,LOJAS DE DEPARTAMENTOS MILIUM LTDA
LOJAS DO PEDRO LTDA,LOJAS DO PEDRO LTDA
ZULMIRA Z. DE MOURA & CIA LTDA,ZULMIRA Z. DE MOURA & CIA LTDA
CASA DO POVO TECIDOS E CONFECCOES LTDA,CASA DO POVO TECIDOS E CONFECCOES LTDA
ATACADO LITORAL CATARINENSE LTDA,ATACADO LITORAL CATARINENSE LTDA
RM CHAVEIRO E SERVICOS LTDA,RM CHAVEIRO E SERVICOS LTDA
OFICINA S O S LTDA,OFICINA S O S LTDA
MULTIRRARA COMERCIAL LTDA,MULTIRRARA COMERCIAL LTDA
EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS
PLAST REI LTDA,PLAST REI LTDA
PAPELARIA MEXICO RIO LTDA,PAPELARIA MEXICO RIO LTDA
L COLODETTI MATERIAL DE CONSTRUCAO LTDA,L COLODETTI MATERIAL DE CONSTRUCAO LTDA
DOMOLO COMERCIO E MANUTENCAO LTDA,DOMOLO COMERCIO E MANUTENCAO LTDA
OMEGA ELETRONICA LTDA,OMEGA ELETRONICA LTDA
L CALIXTO DA SILVA - EPP,L CALIXTO DA SILVA - EPP
PVH PARAFUSOS E FERRAGENS EIRELI,PVH PARAFUSOS E FERRAGENS EIRELI
